Time,Value
0.891663, 83.640526
0.891724, 83.640526
0.891785, 82.680786
0.891846, 88.692513
0.891907, 80.475258
0.891968, 79.425064
0.892029, 83.264977
0.892090, 78.315926
0.892151, 87.744377
0.892212, 86.060646
0.892273, 83.264977
0.892334, 84.832001
0.892395, 81.745003
0.892456, 81.326393
0.892517, 81.933464
0.892578, 82.528313
0.892639, 86.097916
0.892700, 84.564461
0.892761, 83.848778
0.892822, 86.869431
0.892883, 87.060623
0.892944, 84.943214
0.893005, 84.943214
0.893066, 85.811241
0.893127, 83.461548
0.893188, 85.379341
0.893250, 85.880188
0.893311, 87.737022
0.893372, 85.379341
0.893433, 88.305313
0.893494, 81.929001
0.893555, 81.153976
0.893616, 83.602394
0.893677, 83.984535
0.893738, 83.876694
0.893799, 83.602394
0.893860, 83.321907
0.893921, 82.121735
0.893982, 83.321907
0.894043, 81.088348
0.894104, 80.081436
0.894165, 81.286118
0.894226, 84.364891
0.894287, 81.286118
0.894348, 80.709351
0.894409, 81.916939
0.894470, 81.916939
0.894531, 81.916939
0.894592, 81.916939
0.894653, 81.916939
0.894714, 81.916939
0.894775, 81.916939
0.894836, 82.564629
0.894897, 81.605240
0.894958, 81.605240
0.895020, 81.605240
0.895081, 81.605240
0.895142, 81.605240
0.895203, 81.463593
0.895264, 83.394615
0.895325, 81.605240
0.895386, 79.692154
0.895447, 79.667213
0.895508, 83.600754
0.895569, 83.128204
0.895630, 82.121025
0.895691, 78.778984
0.895752, 81.601456
0.895813, 81.563026
0.895874, 81.601456
0.895935, 77.577324
0.895996, 83.303871
0.896057, 78.172325
0.896118, 75.916924
0.896179, 77.043480
0.896240, 79.110603
0.896301, 81.265518
0.896362, 82.101700
0.896423, 80.441200
0.896484, 81.649292
0.896545, 81.802399
0.896606, 81.222290
0.896667, 80.810127
0.896729, 81.222290
0.896790, 82.036880
0.896851, 81.222290
0.896912, 81.222290
0.896973, 82.021034
0.897034, 79.053604
0.897095, 82.703148
0.897156, 81.222290
0.897217, 83.204132
0.897278, 79.853600
0.897339, 78.860947
0.897400, 82.069809
0.897461, 75.567169
0.897522, 78.152206
0.897583, 78.638687
0.897644, 76.806458
0.897705, 76.830811
0.897766, 78.638687
0.897827, 79.442429
0.897888, 78.263283
0.897949, 80.617310
0.898010, 76.184845
0.898071, 78.263283
0.898132, 79.278908
0.898193, 78.031250
0.898254, 77.658195
0.898315, 78.031250
0.898376, 77.658195
0.898438, 77.658195
0.898499, 77.658195
0.898560, 77.209602
0.898621, 76.706589
0.898682, 77.658195
0.898743, 77.450195
0.898804, 78.201157
0.898865, 77.432671
0.898926, 76.572556
0.898987, 77.450195
0.899048, 76.277672
0.899109, 77.432671
0.899170, 76.572556
0.899231, 76.116829
0.899292, 76.116829
0.899353, 74.157715
0.899414, 75.884682
0.899475, 75.884682
0.899536, 75.717636
0.899597, 74.008484
0.899658, 77.853828
0.899719, 76.006668
0.899780, 74.153877
0.899841, 79.634354
0.899902, 76.006668
0.899963, 75.497612
0.900024, 74.116058
0.900085, 75.497612
0.900146, 73.776825
0.900208, 74.726654
0.900269, 75.618263
0.900330, 76.567131
0.900391, 75.618263
0.900452, 75.618263
0.900513, 75.618263
0.900574, 76.278191
0.900635, 74.175339
0.900696, 76.278191
0.900757, 77.773552
0.900818, 75.488495
0.900879, 77.379036
0.900940, 77.598572
0.901001, 75.489777
0.901062, 76.668732
0.901123, 76.093132
0.901184, 75.496994
0.901245, 76.093132
0.901306, 75.101616
0.901367, 77.106743
0.901428, 77.598076
0.901489, 76.093132
0.901550, 76.736366
0.901611, 75.180687
0.901672, 75.814377
0.901733, 77.358086
0.901794, 76.736366
0.901855, 76.059563
0.901917, 77.013649
0.901978, 77.323051
0.902039, 77.323051
0.902100, 77.013649
0.902161, 77.323051
0.902222, 77.323051
0.902283, 77.663628
0.902344, 77.011696
0.902405, 75.047531
0.902466, 77.011696
0.902527, 76.303848
0.902588, 75.844276
0.902649, 75.844276
0.902710, 75.187248
0.902771, 74.244980
0.902832, 74.759262
0.902893, 74.782135
0.902954, 75.796326
0.903015, 74.782135
0.903076, 74.759262
0.903137, 74.083466
0.903198, 74.759262
0.903259, 74.549988
0.903320, 74.738640
0.903381, 74.905922
0.903442, 72.549644
0.903503, 74.549988
0.903564, 76.271683
0.903625, 72.203812
0.903687, 71.367622
0.903748, 71.945213
0.903809, 73.340645
0.903870, 76.209534
0.903931, 75.316490
0.903992, 75.887741
0.904053, 73.935143
0.904114, 71.736816
0.904175, 76.180702
0.904236, 71.774765
0.904297, 73.669350
0.904358, 73.597931
0.904419, 72.771378
0.904480, 73.250946
0.904541, 71.775459
0.904602, 72.771378
0.904663, 71.791328
0.904724, 72.832634
0.904785, 71.880569
0.904846, 72.469147
0.904907, 73.715912
0.904968, 72.469147
0.905029, 70.861717
0.905090, 74.371841
0.905151, 71.905884
0.905212, 77.259407
0.905273, 74.787788
0.905334, 72.174446
0.905396, 75.728706
0.905457, 77.030624
0.905518, 75.728706
0.905579, 75.728706
0.905640, 77.704094
0.905701, 74.891068
0.905762, 75.970459
0.905823, 75.970459
0.905884, 76.623566
0.905945, 77.204880
0.906006, 74.649895
0.906067, 76.136765
0.906128, 77.875587
0.906189, 72.992554
0.906250, 74.331024
0.906311, 71.982170
0.906372, 75.861816
0.906433, 72.327744
0.906494, 72.554131
0.906555, 73.044342
0.906616, 75.649612
0.906677, 74.322525
0.906738, 75.195976
0.906799, 75.195976
0.906860, 73.314552
0.906921, 74.460419
0.906982, 76.109985
0.907043, 74.460419
0.907104, 72.702126
0.907166, 74.009972
0.907227, 75.393906
0.907288, 73.575195
0.907349, 73.153160
0.907410, 73.731224
0.907471, 75.056732
0.907532, 71.029388
0.907593, 71.719063
0.907654, 75.188614
0.907715, 72.233734
0.907776, 72.233734
0.907837, 72.233734
0.907898, 73.698395
0.907959, 72.195747
0.908020, 73.695641
0.908081, 73.695641
0.908142, 74.306175
0.908203, 75.022499
0.908264, 75.542076
0.908325, 73.087990
0.908386, 70.532089
0.908447, 72.873375
0.908508, 73.087990
0.908569, 72.873375
0.908630, 70.428421
0.908691, 73.030449
0.908752, 72.873375
0.908813, 73.901375
0.908875, 71.652328
0.908936, 75.178894
0.908997, 69.917992
0.909058, 72.935875
0.909119, 71.466003
0.909180, 73.542824
0.909241, 75.529068
0.909302, 73.722328
0.909363, 75.711479
0.909424, 73.542824
0.909485, 77.339485
0.909546, 73.457764
0.909607, 71.346558
0.909668, 71.586662
0.909729, 74.554237
0.909790, 71.196915
0.909851, 77.086540
0.909912, 74.782066
0.909973, 70.030197
0.910034, 76.126617
0.910095, 74.782066
0.910156, 72.618149
0.910217, 71.319908
0.910278, 75.266899
0.910339, 77.016464
0.910400, 74.859985
0.910461, 72.946472
0.910522, 74.323685
0.910583, 75.743393
0.910645, 73.300652
0.910706, 74.323685
0.910767, 71.369331
0.910828, 72.509300
0.910889, 73.300652
0.910950, 72.598305
0.911011, 72.598305
0.911072, 72.606445
0.911133, 72.606445
0.911194, 72.606445
0.911255, 72.606445
0.911316, 73.202286
0.911377, 73.202286
0.911438, 72.194878
0.911499, 75.501869
0.911560, 73.762161
0.911621, 74.282745
0.911682, 76.145432
0.911743, 67.393875
0.911804, 71.153946
0.911865, 72.697281
0.911926, 66.358238
0.911987, 67.999550
0.912048, 74.847397
0.912109, 76.654785
0.912170, 72.524422
0.912231, 72.811470
0.912292, 72.811470
0.912354, 72.237877
0.912415, 72.840446
0.912476, 72.811470
0.912537, 72.237877
0.912598, 73.058914
0.912659, 72.237877
0.912720, 70.655441
0.912781, 69.827469
0.912842, 71.682587
0.912903, 71.506157
0.912964, 74.471237
0.913025, 70.300270
0.913086, 71.682587
0.913147, 71.506157
0.913208, 73.344910
0.913269, 71.999397
0.913330, 72.662827
0.913391, 71.480148
0.913452, 71.999397
0.913513, 72.115044
0.913574, 71.480148
0.913635, 71.182640
0.913696, 71.947403
0.913757, 71.135941
0.913818, 70.030312
0.913879, 71.182640
0.913940, 71.182640
0.914001, 71.182640
0.914062, 70.626404
0.914124, 71.470230
0.914185, 68.366440
0.914246, 71.470230
0.914307, 73.216148
0.914368, 68.557884
0.914429, 74.231003
0.914490, 74.391106
0.914551, 73.531036
0.914612, 68.284767
0.914673, 69.605865
0.914734, 72.145325
0.914795, 68.213448
0.914856, 71.150269
0.914917, 73.930252
0.914978, 71.605629
0.915039, 72.502342
0.915100, 70.148735
0.915161, 70.658295
0.915222, 71.605629
0.915283, 71.605629
0.915344, 71.569733
0.915405, 71.569733
0.915466, 71.569733
0.915527, 74.883156
0.915588, 68.033936
0.915649, 74.687988
0.915710, 73.994385
0.915771, 75.423103
0.915833, 75.014885
0.915894, 73.994385
0.915955, 73.855049
0.916016, 73.855049
0.916077, 73.855049
0.916138, 73.855049
0.916199, 72.987831
0.916260, 73.424026
0.916321, 72.878975
0.916382, 72.987831
0.916443, 72.987831
0.916504, 73.424026
0.916565, 72.987831
0.916626, 73.283455
0.916687, 73.283455
0.916748, 74.311615
0.916809, 72.452599
0.916870, 73.293633
0.916931, 73.293633
0.916992, 70.853508
0.917053, 72.452599
0.917114, 73.293633
0.917175, 71.116043
0.917236, 71.544266
0.917297, 72.351562
0.917358, 73.139191
0.917419, 71.544266
0.917480, 70.512619
0.917542, 73.549194
0.917603, 71.724091
0.917664, 73.631577
0.917725, 72.531914
0.917786, 73.303474
0.917847, 74.131279
0.917908, 73.319489
0.917969, 71.744736
0.918030, 73.319489
0.918091, 74.283203
0.918152, 76.359520
0.918213, 70.342583
0.918274, 70.446983
0.918335, 75.275337
0.918396, 73.192383
0.918457, 69.692726
0.918518, 70.875641
0.918579, 68.686363
0.918640, 71.963219
0.918701, 69.064697
0.918762, 71.963219
0.918823, 73.341240
0.918884, 72.603546
0.918945, 74.332146
0.919006, 70.664345
0.919067, 72.174950
0.919128, 72.174950
0.919189, 71.987190
0.919250, 75.000450
0.919312, 70.420059
0.919373, 68.646156
0.919434, 73.599861
0.919495, 75.788094
0.919556, 69.688805
0.919617, 73.599861
0.919678, 73.799965
0.919739, 74.822479
0.919800, 71.691162
0.919861, 73.899811
0.919922, 74.018875
0.919983, 73.899811
0.920044, 74.899132
0.920105, 73.899811
0.920166, 73.268723
0.920227, 73.899811
0.920288, 73.496170
0.920349, 75.996582
0.920410, 70.594109
0.920471, 71.735329
0.920532, 74.973877
0.920593, 71.448105
0.920654, 71.717537
0.920715, 77.050995
0.920776, 74.973877
0.920837, 74.105934
0.920898, 76.692558
0.920959, 76.345230
0.921021, 78.130531
0.921082, 75.719139
0.921143, 75.560440
0.921204, 76.555092
0.921265, 76.537117
0.921326, 75.719139
0.921387, 76.537117
0.921448, 76.537117
0.921509, 76.814255
